QTD;UNIDADE;VAGAS;CNPJ;APP Omie;SUPERVISOR;ADMINISTRADORA;ENDEREÇO;BAIRRO;REGIÃO;CIDADE;ESTADO;;SISTEMA;PREVISÃO;SERVIÇOS;;;;;;OPERAÇÃO;SERVIDORES;INTERNET;ACESSO REMOTO;PARKAWARE;STATUS;Ult_DT;INTERNET
21;C6 TOWER;0;45.037.347/0001-47;CORP - Matriz;GUILHERME;C6;Avenida Nove de Julho, 3186;Jardim Paulista;Sul;São Paulo;SP;;;;;;;;;;;;;;;;;
22;CAL CENTER 1;58;45.037.347/0001-47;CORP - Matriz;JOSÉ PAULO;;Avenida Brigadeiro Faria Lima, 1856 - Jardim Paulistano, São Paulo - SP;Faria Lima;Sul;São Paulo;SP;;;;;;;;;;;;;;;;;
23;CAL CENTER 2;200;45.037.347/0003-09;CORP - Filial;JOSÉ PAULO;HERSIL;Avenida Brigadeiro Faria Lima, 1912 - Jardim Paulistano, São Paulo - SP;Faria Lima;Sul;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;ENTERPRISE BI;x;WPS PAY (ADICIONADO AO MOBILE);x;x;;;;;Implantada;;;fixa
24;CBOP;400;16.870.311/0002-22;PCO - Filial;MARCIO;TISHMAN;Avenida Marcos Penteado de Ulhoa Rodrigues, 939 - Barueri;Grande SP;Grande SP;Barueri;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;x;x;x;x;LIVE OPERATOR;Automatizado;Térreo;Compartilhada;Enterprise;Pendente;Projetos pendentes de aprovação;;fixa
25;CEA;640;45.037.347/0001-47;CORP - Matriz;ANDRÉ MOURA;BARZEL;Av. do Café, 277 - Vila Guarani, São Paulo - SP,;Jabaquara;Sul;São Paulo;SP;;WPS;;;;;;;;;;;;;;;fixa
26;CEV;80;59.075.010/0003-09;TRACES - Filial;CELSO;;Rodovia Santos Dumont, 66;Fora SP;Fora SP;Campinas;SP;;WPS;;x;ENTERPRISE BI;x;x;x;x;Automatizado;Térreo;Compartilhada;Enterprise;Implantada;;;4G
27;CHILE;50;23.599.333/0012-37;Style - Filial;ELTON;IRB;Rua do Lavradio, 15 - Rio de Janeiro;RJ;RJ;Rio de Janeiro;RJ;;CARMOB;;;;;;;;;;;;Pendente;Projetos pendentes de aprovação;;Não possui 
28;CLUBE SÍRIO;134;16.870.311/0066-97;PCO - Filial;JAILSON;;Avenida Indianópolis, 1192 - Indianópolis, São Paulo - SP;Berrini;Sul;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;x;x;WPS PAY FULL;x;x;;;;;Implantada;CheckList enviado incompleto;;fixa
29;COMOLATTI;147;16.870.311/0070-73;PCO - Filial;EDMILSON;HERSIL;Avenida Paulista, 2537 - Bela Vista, São Paulo - SP;Paulista;Paulista;São Paulo;SP;;LINK;;;;;;;;;;;;Pendente;N temos pedido de projeto;;fixa
30;CUBO;145;16.870.311/0071-54;PCO - Filial;LUIZ CARLOS;INOVA;Alameda Vicente Pinzon, 54 - Vila Olímpia, São Paulo - SP;Vila Olimpia;Sul;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;x;x;x;COMODATO AUTOMAÇÃO;x;;;;;Implantada;aprovado;07/08/2022;
31;DELTA PLAZA;200;55.380.283/0001-36;COMPANY - MATRIZ;EDMILSON;HERSIL;Cincinato Braga, 340 - Bela Vista;Paulista;Sul;São Paulo;SP;;VALETI;;;;;;;;;;;;;;;
32;DUPRAT;40;23.599.333/0001-84;Style - Matriz;MARCO ANTONIO;INOVA;Rua Barão de Duprat, 45 - Centro - São Paulo;Centro;Centro;São Paulo;SP;;VALETI;;;;;;;;;;;;Implantada;;;4G
33;FIGI;;45.037.347/0001-47;CORP - Matriz;GRACILIANO;;Rua Fidalga, 380 - Pinheiros, São Paulo - SP;Pinheiros;Oeste;São Paulo;SP;;VALETI;;;;;;;;;;;;;;;
34;FINANCIAL BSB;170;16.870.311/0084-79;PCO - Filial;INGRID;CUSHMAN;SCN Q 2 - Asa Norte, Brasília - DF, 70712-900;Asa Norte;Asa Norte;Brasília;DF;;WPS;;;;;;;;;;;;;;;
35;FINASA;190;45.037.347/0026-03;CORP - Filial;MARCO ANTONIO;TECNAC;Rua Libero Badaró 377;Centro;Centro;São Paulo;SP;;EMBRATECC;;;;;;;;;;;;;;;
36;FL CORPORATE;80;16.870.311/0032-48;PCO - Filial;LUIZ CARLOS;HERSIL;Avenida Brigadeiro Faria Lima, 4300 - São Paulo;Vila Olimpia;Sul;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;x;x;x;x;x;Automatizado;1º Subsolo;Compartilhada;Enterprise;Implantada;;;
37;FL OFFICE;429;16.870.311/0069-30;PCO - Filial;LUIZ CARLOS;;Rua Elvira Ferraz, 250 - São Paulo;Vila Olimpia;Sul;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;x;x;x;x;x;Automatizado;1º Subsolo;;;Implantada;;;4G
38;FL SQUARE OFFICE;40;16.870.311/0077-40;PCO - Filial;GRACILIANO;;Rua Cardeal Arco Verde, 2448 - São Paulo;Pinheiros;Oeste;São Paulo;SP;;WPS;;x;ENTERPRISE BI;x;x;x;x;Informatizado;1º Subsolo;;;Implantada;;;emprestado do condominio
39;FLBC;180;45.037.347/0013-80;CORP - Filial;ANDRÉ MOURA;BARZEL;Avenida Brigadeiro Faria Lima, 1309 - Pinheiros, São Paulo - SP;Pinheiros;Oeste;São Paulo;SP;;CTX;;;;;;;;;;;;Implantada;;;4G
40;FORVM TOWER;300;45.037.347/0008-13;CORP - Filial;DANILO ( Encarregado );HABITA;Avenida Marquês de São Vicente, 182 - São Paulo;Barra Funda;Oeste;São Paulo;SP;;KAPATRON;;;;;;;;;;;;Pendente;Projetos pendentes de aprovação;;
41;FUNCEF;34;45.037.347/0007-32;CORP - Filial;EDMILSON;INOVA;Avenida Paulista, 1912 - Bela Vista, São Paulo - SP;Paulista;Paulista;São Paulo;SP;;VALETI;;;;;;;;;;;;Pendente;aguardando autorização de instalação;;Não possui 
42;FUSION;44;16.870.311/0001-41;PCO - Matriz;TIAGO SANTOS;;Rua Doutor. Emílio Ribas, 94 - Vila Matias, Santos - SP, 11015-070;Vila Matias;Grande SP;Santos;SP;;Sem Sistema;;;;;;;;;;;;Pendente;N temos pedido de projeto;;Não possui 
43;GLORIA RJ;65;16.870.311/0052-91;PCO - Filial;ELTON;JLL;Rua da Glória, 122 - Glória, Rio de Janeiro - RJ;RJ;RJ;Rio de Janeiro;RJ;;GENIUS;;;;;;;;;;;;Pendente;Projetos pendentes de aprovação;;Não possui 
44;HEBRAICA;313;16.870.311/0068-59;PCO - Filial;COSTA;;Rua Hungria, 1000 - Jardins, São Paulo - SP;Faria Lima;Sul;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;ENTERPRISE BI;x;x;x;x;;;;;Implantada;;;
45;ICON ALPHAVILLE;327;16.870.311/0030-86;PCO - Filial;ODAIR ENCARREGADO;JBENZ;Alameda Mamoré, 503 - Alphaville Res. Um, Barueri - SP;Grande SP;Grande SP;Barueri;BARUERI;;LINK;;;;;;;;Automatizado;Térreo;;;Pendente;Projetos pendentes de aprovação;;
46;IGUATEMI;40;16.870.311/0038-33;PCO - Filial;GUILHERME;HABITA;Rua Iguatemi, 192 - Itaim Bibi, São Paulo - SP;Itaim Bibi;Sul;São Paulo;SP;;LINK;;;;;;;;Automatizado;1º Subsolo;;;Implantada;;;
47;JF 100;98;16.870.311/0008-18;PCO - Filial;GUILHERME;HERSIL;Rua Joaquim Floriano, 100 - Itaim Bibi, São Paulo - SP;Itaim Bibi;Sul;São Paulo;SP;;LINK;VALETI;;;;;;;Automatizado;1º Subsolo;;;Implantada;aprovado;;4G
48;JK 28;60;16.870.311/0010-32;PCO - Filial;GUILHERME;HERSIL;Avenida. Presidente Juscelino Kubitschek, 28 - Vila Nova Conceição, São Paulo - SP;Vila Nova Conceição;Sul;São Paulo;SP;;KAPATRON;VALETI;;;;;;;Automatizado;Térreo;;;Implantada;Negociar valor;07/08/2022;4G
49;JMA;;45.037.347/0001-45;CORP - Matriz;GRACILIANO;;Rua Henrique Monteiro, 22;Pinheiros;Oeste;São Paulo;SP;;VALETI;;;;;;;;;;;;;;;
50;JOCKEY SEDE;200;16.870.311/0026-08;PCO - Filial;MARCO ANTONIO;INOVA;Rua Boa Vista, 280 - São Paulo;Centro;Centro;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;ENTERPRISE BI;ENTERPRISE MOBILE;x;x;x;Automatizado;Térreo;Própria;Enterprise;Implantada;;;fixa
51;MAJOR QUEDINHO;200;16.870.311/0075-88;PCO - Filial;EDMILSON;;Rua Major Quedinho, 114 - Centro Histórico de São Paulo, São Paulo - SP;Centro;Centro;São Paulo;SP;;VALETI;;;;;;;;;;;;Implantada;;;fixa
52;MARIA CECILIA;188;16.870.311/0013-85;PCO - Filial;LUIZ CARLOS;HERSIL;Avenida Presidente Juscelino Kubitschek, 1400 - Itaim Bibi, São Paulo - SP;Itaim Bibi;Sul;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;x;x;x;x;x;;;;;Implantada;;;4G
53;MARTINIANO;169;45.037.347/0009-02;CORP - Filial;EDMILSON;HERSIL;Rua Capitão Mor Roque Barreto, 46 - São Paulo;Paulista;Paulista;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;x;x;x;x;x;;;;;Pendente;N temos pedido de projeto;;fixa
54;MYKONOS;40;16.870.311/0067-78;PCO - Filial;LUIZ CARLOS;HERSIL;Rua Gomes De Carvalho, 1356 - Vila Olímpia, São Paulo - SP;Vila Olimpia;Sul;São Paulo;SP;;LINK;;;;;;;;;;;;Implantada;;;4G
55;NAÇÕES UNIDAS III;230;16.870.311/0001-41;PCO - Matriz;JOSÉ PAULO;HERSIL;Rua Eugênio de Medeiros, 303 - São Paulo;Faria Lima;Sul;São Paulo;SP;;WPS;;x;x;x;x;x;x;;;;;Implantada;;;fixa
56;OSCAR FREIRE;150;59.075.010/0004-81;TRACES - Filial;GRACILIANO;BBZ;Rua Oscar Freire, 2250 - Pinheiros, São Paulo - SP;Pinheiros;Oeste;São Paulo;SP;;WPS;SKIDATA;;;;;;;Automatizado;1º Subsolo;;;Implantada;;;fixa
57;P11;180;45.037.347/0001-47;CORP - Matriz;GRACILIANO;HERSIL;Rua dos Pinheiros, 623 - São Paulo - SP;Pinheiros;Pinheiros;São Paulo;SP;;VALETI;;;;;;;;;;;;Sem Inf;;;Não possui 
58;PADDOCK I;49;16.870.311/0014-66;PCO - Filial;JOSÉ PAULO;HERSIL;Rua Hungria, 514 - Jardim Europa, São Paulo - SP;Faria Lima;Faria Lima;São Paulo;SP;;KAPATRON;VALETI;;;;;;;Automatizado;Térreo;;;Implantada;aprovado;25/07/2022;4G
59;PADDOCK II;46;16.870.311/0015-47;PCO - Filial;JOSÉ PAULO;HERSIL;Rua Hungria, 620 - Pinheiros, São Paulo - SP;Faria Lima;Sul;São Paulo;SP;;KAPATRON;VALETI;;;;;;;Automatizado;Térreo;;;Implantada;aprovado;25/07/2022;4G
60;PANTHEON;40;45.037.347/0005-70;CORP - Filial;ANDRÉ MOURA;BARZEL;Rua Doutor Fernandes Coelho, 85 - São Paulo;Pinheiros;Oeste;São Paulo;SP;;LINK;;;;;;;;;;;;Pendente;Projetos pendentes de aprovação;;Não possui 
61;PARAISO;40;16.870.311/0057-04;PCO - Filial;EDMILSON;HERSIL;R. Des. Eliseu Guilherme, 101 - Paraíso, São Paulo - SP;Paulista;Sul;São Paulo;SP;;VALETI;;;;;;;;;;;;Implantada;;;4G
62;PARQUE ANA COSTA;50;16.870.311/0051-00;PCO - Filial;TIAGO SANTOS;HERSIL;Avenida Ana Costa, 433 - Gonzaga, Santos - SP;Grande SP;Grande SP;Santos;SP;;WPS;;x;ENTERPRISE BI;x;x;x;x;Automatizado;Térreo;Compartilhada;Enterprise;Pendente;N temos pedido de projeto;;Não possui 
63;PARQUE PAULISTA;240;16.870.311/0012-02;PCO - Filial;EDMILSON;HERSIL;Alameda Santos, 1940 - Jardim Paulista, São Paulo - SP;Paulista;Paulista;São Paulo;SP;;KAPATRON;;;;;;;;Automatizado;1º Subsolo;;;Implantada;;;4G
64;PÁTIO REBOUÇAS;98;45.037.347/0001-47;CORP - Matriz;GRACILIANO;HERSIL;Avenida Rebouças 2942, 2970 e 2984;Pinheiros;Oeste;São Paulo;SP;;EMBRATECC;;;;;;;;;;;;;;;
